,mean_absolute_error,_step,loss,mean_squared_error,_runtime,val_mean_squared_error,epoch,val_mean_absolute_error,_timestamp,val_loss,run_id,batch_size,future,past,units,dropout,runtime,best_val_loss,best_epoch,pretrained,trainable,preprocess,optimizer,train_split,h_pass,l_pass,layers_transferred,bci_task,repetitions,architecture,pretrain_dense_units,test_channel,model,n_augmentations,dense_units
11,0.3175957202911377,11,,0.18083935976028442,1959,0.16364093124866486,131,0.3027065098285675,1640768033,0.3027065098285675,24orv839,24,16,39,100,0.5,,0.1670105904340744,106,,,medium,nadam,0.7,0.01,0.7,,,,LSTM-3,128,0,,,
12,0.3029519021511078,12,,0.16597580909729004,2149,0.15143130719661713,131,0.29459047317504883,1640768223,0.29459047317504883,24orv839,24,16,39,100,0.5,,0.1670105904340744,106,,,medium,nadam,0.7,0.01,0.7,,,,LSTM-3,128,0,,,
13,0.2877771258354187,13,,0.14871974289417267,2336,0.1468505561351776,131,0.28757935762405396,1640768410,0.28757935762405396,24orv839,24,16,39,100,0.5,,0.1670105904340744,106,,,medium,nadam,0.7,0.01,0.7,,,,LSTM-3,128,0,,,
14,0.2821970283985138,14,,0.14261186122894287,2514,0.1351178139448166,131,0.2758257985115051,1640768589,0.2758257985115051,24orv839,24,16,39,100,0.5,,0.1670105904340744,106,,,medium,nadam,0.7,0.01,0.7,,,,LSTM-3,128,0,,,
15,0.2716715633869171,15,,0.1343221813440323,2696,0.13063494861125946,131,0.275888055562973,1640768770,0.275888055562973,24orv839,24,16,39,100,0.5,,0.1670105904340744,106,,,medium,nadam,0.7,0.01,0.7,,,,LSTM-3,128,0,,,
16,0.2663766145706177,16,,0.1267135888338089,2872,0.1362391859292984,131,0.27985233068466187,1640768946,0.27985233068466187,24orv839,24,16,39,100,0.5,,0.1670105904340744,106,,,medium,nadam,0.7,0.01,0.7,,,,LSTM-3,128,0,,,
17,0.25399166345596313,17,,0.11553707718849182,3059,0.12338484078645706,131,0.26340100169181824,1640769133,0.26340100169181824,24orv839,24,16,39,100,0.5,,0.1670105904340744,106,,,medium,nadam,0.7,0.01,0.7,,,,LSTM-3,128,0,,,
18,0.24867811799049377,18,,0.11129886656999588,3251,0.10693637281656265,131,0.24583984911441803,1640769325,0.24583984911441803,24orv839,24,16,39,100,0.5,,0.1670105904340744,106,,,medium,nadam,0.7,0.01,0.7,,,,LSTM-3,128,0,,,
19,0.24553360044956207,19,,0.10848191380500793,3415,0.12573795020580292,131,0.2644711136817932,1640769489,0.2644711136817932,24orv839,24,16,39,100,0.5,,0.1670105904340744,106,,,medium,nadam,0.7,0.01,0.7,,,,LSTM-3,128,0,,,
20,0.2402219921350479,20,,0.10508906096220016,3576,0.09256993979215622,131,0.22862476110458374,1640769650,0.22862476110458374,24orv839,24,16,39,100,0.5,,0.1670105904340744,106,,,medium,nadam,0.7,0.01,0.7,,,,LSTM-3,128,0,,,
21,0.23118539154529572,21,,0.09647658467292786,3720,0.10204121470451355,131,0.24001403152942657,1640769794,0.24001403152942657,24orv839,24,16,39,100,0.5,,0.1670105904340744,106,,,medium,nadam,0.7,0.01,0.7,,,,LSTM-3,128,0,,,
22,0.22719326615333557,22,,0.09339892864227295,3824,0.10030238330364227,131,0.2331085205078125,1640769898,0.2331085205078125,24orv839,24,16,39,100,0.5,,0.1670105904340744,106,,,medium,nadam,0.7,0.01,0.7,,,,LSTM-3,128,0,,,
